"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::ref","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::reference","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::returnStatement","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::statement","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::statements","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::switchStatement","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::synchro","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::thisAccess","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::throwStatement","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::tryBlock","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::tryWithResource","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::typeAccess","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::typeParameter","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::variableRead","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::variableWrite","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::whileLoop","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::wildcardReference","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#scan(java.lang.Object)::1","spoon.reflect.visitor.CtScanner#scan(java.lang.Object)::o"
"spoon.reflect.visitor.CtScanner#scan(java.lang.Object)::o","spoon.reflect.visitor.CtScanner#scan(spoon.reflect.declaration.CtElement)::o"
"spoon.reflect.visitor.CtScanner#scan(java.lang.Object)::obj","spoon.reflect.visitor.CtScanner#scan(java.lang.Object)::1"
"spoon.reflect.visitor.CtScanner#scan(java.lang.Object)::obj","spoon.reflect.visitor.CtScanner#scan(java.lang.Object)::obj"
"spoon.reflect.visitor.CtScanner#scan(java.util.Collection)::1","spoon.reflect.visitor.CtScanner#scan(java.util.Collection)::elements"
"spoon.reflect.visitor.CtScanner#scan(java.util.Collection)::e","spoon.reflect.visitor.CtScanner#scan(spoon.reflect.declaration.CtElement)::e"
